898
721	8005	11
1817	3416	15
3778	1572	15
3778	10	15
1934	8007	81
2191	4833	15
543	8010	15
42	2044	11
364	893	38
5286	3748	28
5286	7372	28
122	8020	15
201	8022	16
3657	5893	15
5945	1707	31
1704	5120	89
4181	28	188
879	8032	16
3055	8033	20
1113	3403	11
6073	4078	27
54	5202	52
7172	553	535
1511	4291	38
1511	5617	127
491	8047	127
2328	4282	20
7	8056	228
7	8057	228
532	8059	47
918	7588	11
1317	8062	137
1317	8063	137
441	882	11
1716	5766	93
3212	8065	11
642	4124	47
4224	8066	11
689	8067	93
284	8069	11
7843	5324	330
1135	4507	16
724	669	11
1751	916	11
1724	8079	1
2967	8080	38
3200	8081	47
3719	4069	11
1008	6726	93
1880	418	12
1506	8087	220
1506	2420	220
5410	8088	16
278	409	100
107	5438	16
97	1279	147
925	8090	228
1522	8091	228
1522	8092	330
1102	8094	13
450	1469	15
5125	3798	11
4234	166	31
535	8097	15
1883	8099	115
76	1918	34
4855	8100	20
1412	4838	31
2231	8104	11
1832	7255	157
1083	7977	122
8011	8109	219
418	5888	11
962	3823	81
244	1443	77
739	7486	1
1706	8120	137
1045	8122	16
4169	1066	63
208	4684	52
208	6056	52
2	2419	47
1187	2610	47
3013	7868	11
54	8147	52
1511	6742	127
839	28	218
7	8158	228
7	6399	228
7	2495	330
843	6272	16
743	3240	223
1659	7709	44
1193	3683	1
4526	1102	218
8166	8167	13
2875	6889	15
642	1753	47
689	8169	93
954	3753	521
298	8174	13
910	1510	179
7843	6606	330
7843	5751	330
7672	301	28
459	5294	93
403	7882	89
8177	8178	89
2878	8183	27
5343	3122	81
375	8185	16
12	1995	6
7503	8186	13
7106	5901	11
391	6451	15
6953	8190	535
312	7455	93
107	7740	16
107	152	16
2289	5116	11
28	4220	13
97	7506	38
925	8191	330
1522	2539	228
1522	6873	228
1522	8192	228
1522	4605	330
4320	6423	28
3106	7418	240
1370	3797	105
1883	7919	13
244	4890	77
244	221	77
1045	2944	16
2849	2112	81
1886	1971	36
208	8224	52
430	4709	11
1187	8229	47
1399	8230	13
4421	2301	105
746	8213	100
142	8235	213
54	897	52
3015	7783	213
7172	8239	330
552	3458	11
4866	8240	13
23	952	151
190	4319	68
743	3897	223
1001	6241	151
8241	2273	417
1373	6990	63
2898	2490	15
4166	1804	41
3156	711	11
112	60	27
2104	3216	28
3757	8258	89
6265	3446	16
2076	8262	15
987	5124	47
114	4472	47
7083	6114	13
8265	1588	330
576	8266	330
68	438	11
7638	1924	47
7249	8268	11
2993	409	11
757	8274	16
2128	8275	330
28	8280	13
925	6182	228
1522	8284	228
2691	8285	521
4780	3588	41
586	8292	44
869	1653	11
453	1299	18
448	4745	47
1889	812	89
195	2789	81
42	8306	15
162	8309	16
1409	2826	1
156	4315	11
8314	8315	20
2359	2360	31
480	8322	15
208	6649	52
208	8323	52
8026	3164	417
8324	3171	89
1704	7398	89
439	3721	93
461	5741	11
54	6235	52
54	8326	52
231	6095	20
875	2509	11
7172	2132	330
552	8025	11
7	8331	558
7	8332	228
762	1653	11
317	8333	126
532	8337	47
7437	4752	20
936	8346	15
954	8350	521
954	8351	13
284	6828	15
1633	1270	77
626	5140	13
5072	8021	11
7083	7372	13
529	2810	11
726	3610	47
1544	4402	16
814	6836	15
1008	10	93
2128	8372	228
97	337	100
4317	3428	28
1580	8375	47
8376	4369	47
1522	8377	228
1522	8378	228
1522	8379	330
5507	7818	20
539	8382	36
3106	8384	240
69	8388	31
364	1881	147
1409	8404	1
1409	5085	47
739	6338	1
638	8407	15
3116	789	11
8412	6501	16
1566	5776	11
208	8419	52
2630	2756	89
8026	5694	417
8026	8420	417
8026	8421	330
3155	5341	454
879	2195	16
879	8423	16
879	7041	16
6645	8426	41
3391	3649	91
3164	5968	219
54	8428	52
3015	1951	213
8431	8432	81
762	5926	11
1001	8435	122
4779	1733	176
4021	8439	16
646	275	16
3902	7598	330
1247	7752	12
946	8447	13
724	7623	11
576	5898	330
8453	8454	11
8455	395	16
8456	2694	11
1476	919	11
107	2299	16
28	8460	13
925	8461	330
925	8462	330
925	8463	330
1522	8464	228
6630	8465	198
8466	8467	36
869	5468	11
4988	8474	27
162	967	16
5526	8480	15
