378
1321	1320	72
448	3	1
1425	1289	44
2508	4	71
274	99	13
1521	34	14
830	32	13
457	549	13
2243	50	76
741	253	60
622	470	114
827	30	12
1450	32	13
2436	34	14
521	3	1
2463	50	76
1185	34	14
1081	590	13
69	34	14
607	88	26
2409	50	76
186	34	14
935	253	60
2204	10	21
2162	124	12
299	647	13
507	3	1
624	1040	34
421	34	14
757	322	13
1166	124	12
1708	149	72
1931	3	1
585	735	34
882	148	13
1423	3	1
1059	2521	133
1613	34	14
1822	3	1
1617	16	7
307	1222	34
530	490	34
2090	3	1
943	2466	121
857	148	13
399	34	14
1494	3	1
1306	34	14
185	1509	34
1857	30	12
2056	3	1
1300	309	150
119	259	25
489	1560	26
1397	32	13
1078	999	26
554	30	55
1772	501	68
811	124	12
1873	34	14
1380	728	71
160	63	34
2255	885	34
1021	34	14
1252	70	13
522	88	26
1050	148	13
197	30	12
1380	681	72
10	124	123
544	124	12
2396	501	68
2485	50	22
997	625	34
1198	30	12
2404	3	1
1887	30	81
1940	549	13
2476	259	25
572	34	14
2045	3	1
1918	3	1
2325	127	7
565	1057	34
2528	34	14
478	34	14
2083	30	12
1599	999	44
907	10	21
881	699	34
1810	34	14
453	34	14
1277	1862	16
2345	50	22
503	34	14
2436	3	1
1716	469	34
743	34	14
1369	34	14
1032	30	12
1638	3	1
232	252	34
724	30	12
834	3	1
306	3	1
256	83	72
1137	3	1
1672	501	68
1295	34	14
1388	30	12
2570	30	12
846	797	115
1993	2573	26
1166	30	12
667	156	13
1993	46	115
1607	3	1
2417	30	12
946	875	34
529	88	30
1485	3	1
1098	34	14
654	501	68
82	3	1
2176	1853	7
561	1495	26
882	3	1
1700	30	12
1281	34	14
1539	3	1
592	34	14
1055	2136	93
1566	50	76
955	1781	72
1158	30	55
1634	211	16
2442	50	76
1946	3	1
1912	10	7
1225	30	12
1240	95	33
255	755	34
1645	1123	26
518	590	13
824	501	68
1061	30	12
1790	211	16
1167	1166	34
1645	156	13
597	1364	34
1137	30	55
2025	156	13
2300	783	26
1733	1364	34
1876	3	1
1198	891	60
709	1372	156
1684	30	25
1546	3	1
2325	34	14
1628	973	34
1544	3	1
155	1154	26
999	10	128
959	34	14
950	34	196
1988	137	41
834	369	150
2177	994	144
1486	30	12
2328	50	76
1328	259	25
1898	1058	34
1639	3	1
2448	501	68
530	3	1
1798	32	13
1424	50	76
205	88	129
2060	681	72
2337	148	13
1115	590	13
617	32	13
1394	3	1
1053	1054	26
1169	971	34
47	83	72
2342	32	13
128	127	128
2544	30	81
416	30	55
1839	34	14
151	1570	144
2265	30	12
2337	34	14
149	1214	189
447	3	1
101	34	14
421	3	1
957	3	1
1828	50	76
2563	34	14
1351	304	44
1586	30	55
2094	50	76
1697	30	55
981	50	22
822	34	14
959	563	34
1068	127	7
937	34	14
1532	124	123
2485	50	76
1402	34	14
1807	1411	108
976	148	13
1819	34	14
2382	34	14
365	30	12
1167	34	14
2173	304	44
1598	322	13
532	50	76
197	2324	138
1298	30	122
777	336	5
338	54	72
27	692	107
1669	3	1
1568	50	22
782	3	1
1332	124	123
2369	3	1
2187	783	26
196	195	34
1926	148	13
228	2205	100
1670	30	81
2429	3	1
760	590	13
1936	30	55
591	632	25
1053	1302	26
621	600	34
805	30	55
841	324	34
582	484	150
38	121	72
2283	1214	142
597	3	1
26	3	1
1611	30	55
557	30	12
1789	3	1
940	34	14
2169	88	31
870	3	1
1729	3	1
194	1198	34
59	746	143
789	30	12
2045	148	13
1510	127	129
1518	34	196
206	1189	26
970	1338	34
557	504	5
1835	50	76
490	1248	72
881	3	1
781	3	1
1876	30	55
688	1646	34
318	104	21
1466	30	12
527	124	123
2311	124	25
2358	34	14
106	392	34
355	10	21
2033	30	122
131	34	14
419	30	55
2008	1547	34
2509	60	30
1449	127	7
847	127	7
938	3	1
535	331	68
2402	3	1
1510	127	73
2375	1214	142
372	3	1
1340	34	14
463	34	14
455	30	12
1499	34	14
2043	2308	34
394	2095	26
1155	1505	26
1492	501	68
848	30	12
2517	88	30
723	2379	34
558	365	34
1224	34	14
229	1135	71
544	895	98
2021	389	137
1224	3	1
1898	88	30
1536	501	68
476	50	76
683	549	13
1881	240	56
1071	644	72
1254	246	34
2197	34	14
905	34	14
860	34	14
2419	148	13
559	34	14
439	50	76
22	113	34
363	30	12
713	30	55
2528	3	1
2128	3	1
105	30	12
2138	146	13
1848	32	13
846	34	14
755	30	12
1280	1214	142
1099	76	72
1081	1698	34
1232	32	13
1379	3	1
394	30	55
1670	632	25
1452	95	33
1912	590	13
2137	3	1
727	30	12
1692	34	14
20	124	123
993	148	13
1801	50	22
2284	3	1
596	148	13
1584	104	129
942	46	150
2263	16	111
1287	127	7
824	10	7
749	292	41
1843	34	14
268	34	14
1727	30	12
26	148	13
2524	1005	70
1607	136	7
1397	229	58
749	979	107
1307	95	33
949	30	12
2076	2279	26
1716	148	13
1854	3	1
1199	3	1
978	1	7
2382	148	13
531	3	1
134	30	12
1601	127	7
860	590	13
1081	34	14
544	504	5
