167
1386	865	79
1743	490	94
1015	1042	38
1448	2018	8
167	674	19
121	2043	38
656	413	2
167	188	19
1656	2131	45
3	450	80
687	1383	19
50	712	37
3	2399	80
689	115	106
1732	222	8
236	2058	54
1038	948	23
329	1878	38
1213	2019	8
864	271	48
1367	1389	2
88	1289	11
1663	273	99
50	1568	37
1528	1453	8
999	954	145
443	215	11
374	164	8
173	1604	17
4	1509	2
181	409	8
2106	2421	11
1367	762	2
1557	1645	75
1402	1173	106
83	1409	38
2198	614	0
1125	683	82
30	1778	66
1964	2535	48
50	2328	37
1248	1992	38
203	1508	38
329	2224	38
1268	48	94
2198	27	0
461	1990	130
410	1273	38
153	893	38
854	272	48
529	1674	48
17	1485	8
1746	98	17
211	1364	63
138	1114	38
611	902	75
3	2095	80
211	1074	63
347	362	38
50	2094	37
58	462	38
0	1922	165
1811	1008	106
581	580	37
4	385	2
3	1711	80
1964	1093	48
687	627	19
211	1198	63
4	108	2
50	2441	37
10	913	2
153	1833	38
124	1332	66
88	304	11
987	678	17
1259	1978	38
2200	423	17
17	249	94
17	196	8
50	1014	37
3	128	80
2574	1319	48
4	328	2
50	2349	37
3	527	80
1112	296	38
928	206	38
2587	1869	17
1	79	11
2258	9	130
829	1745	11
484	582	82
496	206	38
1202	2019	8
211	1143	63
1928	1999	17
1973	1258	48
149	543	38
964	409	8
2440	772	17
54	592	38
619	618	11
2303	2302	11
3	1771	80
50	1870	37
1038	2014	23
4	170	2
2560	821	63
127	1983	11
1259	1258	38
1303	2400	17
2532	2577	11
1352	2251	19
611	518	75
2283	738	8
1447	1692	8
2541	1172	160
350	1621	48
10	2051	11
1029	1161	19
4	68	2
656	1152	2
4	324	2
2353	2126	125
1447	1639	8
243	1647	82
687	86	19
50	1679	37
1528	958	8
293	475	63
1194	505	38
16	2263	11
211	102	63
50	2331	37
2485	2380	171
950	91	23
0	2327	165
1038	344	23
1123	1894	11
1846	84	54
50	2228	37
1320	516	38
10	920	11
374	491	8
50	640	37
50	2406	37
386	2020	79
980	1816	106
3	1560	80
594	41	8
167	679	19
167	612	19
46	958	82
2030	2235	185
950	1267	23
1223	823	11
1691	1072	38
950	2342	23
177	2080	106
88	1997	11
127	1090	11
2218	1679	106
711	712	106
1488	311	8
715	997	17
511	2532	0
